Популярные страницы,Kлики,Показы,CTR,Позиция
/kastraciya-kota,240,12057,1.99%,11.54
/,212,6717,3.16%,16.95
/usyplenie-kota,203,5609,3.62%,8.92
/usyplenie-sobaki,179,8174,2.19%,7.92
/sterilizaciya-koshek,124,9478,1.31%,9.94
/evtanazia/kremaciya,116,4939,2.35%,9.9
/privivki-koshkam,100,6408,1.56%,9.27
/uzi,78,1150,6.78%,18.98
/privivki-sobakam,67,3701,1.81%,11.87
/evtanazia,67,1012,6.62%,8.52
/veterinar-na-dom,46,3798,1.21%,11.8
/kastraciya-sobak,28,1919,1.46%,7.61
/ceny,17,912,1.86%,4.66
/dermatologiya,16,671,2.38%,8.82
/nefrolog,16,515,3.11%,8.21
/kis,11,132,8.33%,10.23
/blog/sobaka-zabolela-posle-ukusa-klesha,10,5342,0.19%,50.32
/tonometriya,10,237,4.22%,11.91
/otzyvy,7,58,12.07%,3.78
/blog/esli-rvota-ponos-u-koshki-ili-sobaki-chto-delat,6,2284,0.26%,14.25
/diagnostika,4,194,2.06%,6.34
/uslugi,2,123,1.63%,2.41
/blog/dermatit-u-koshek-i-sobak,1,421,0.24%,9.55
/vakansii,1,10,10%,10.9
/otzyvy/dobavit-otzyv,0,16,0%,7.38
/blog,0,15,0%,6.2
/vakcinaciya,0,9,0%,3.11
